hue_mean,hue_std,sat_mean,sat_std,val_mean,val_std,lab_a_mean,lab_b_mean,frac_green,frac_yellow,frac_dark,frac_pale,hue_iqr,val_iqr,sat_iqr,frac_below_med_val,frac_off_hue,exg_mean,exg_std,plant_coverage,solidity,perimeter_ratio,aspect_ratio,extent,leaf_count_est,leaf_count_mean,leaf_elongation,leaf_elongation_max,notch_count,notch_depth_mean,lap_var,lap_abs_mean,detail_mean,detail_std,edge_density,seg_isolation,seg_coverage,sample_id,image_name,leaf_condition,plant_strength,disease_visible
30.894521713256836,5.059863090515137,122.41822814941406,40.54117965698242,100.10447692871094,29.564125061035156,120.75684356689453,153.60084533691406,0.20430971512052593,0.7905283662040419,0.11726320915510105,0.016216216216216217,7.0,39.0,69.0,0.14752860969077186,0.023338203067932797,0.19303250312805176,0.07931038737297058,0.41778564453125,0.6250151773263621,12.023452943115164,1.037837837837838,0.5978005349099099,6.0,3.25,1.4044658258351128,2.4347826086956523,9.0,58.50347222222222,7583.0439453125,54.3947639465332,7.486924648284912,8.560068130493164,0.17791575359142928,0.9125754091257541,0.41778564453125,id1,20260328_100120_HDR.jpg,healthy,strong,no
30.528236389160156,5.3668975830078125,126.82754516601562,40.533905029296875,100.42581176757812,31.512462615966797,120.81700134277344,154.44102478027344,0.16563382749031028,0.8289902993408808,0.12417062649177743,0.015963387128561105,6.0,40.0,66.75,0.14432741366851337,0.02499616791118313,0.19841304421424866,0.08238686621189117,0.4645487467447917,0.6918371690248342,9.658933483164557,0.9411764705882353,0.6017188776552288,2.0,1.5,1.137400372571213,1.368421052631579,6.0,69.8359375,8068.17626953125,57.537193298339844,7.8658552169799805,8.653099060058594,0.1901263494427048,0.8532937208628792,0.4645487467447917,id1,20260328_100122_HDR.jpg,healthy,strong,no
29.64577865600586,4.858273506164551,135.9585723876953,39.483238220214844,102.52732849121094,32.22349166870117,120.98475646972656,156.47642517089844,0.10640250975961588,0.8896331191429695,0.11326198137855205,0.011751888876559773,4.0,38.0,61.0,0.13617059909414625,0.014778126355502205,0.20752573013305664,0.08029012382030487,0.5042165120442709,0.7173958008322612,10.516202003617332,0.9014084507042254,0.62547376271518,5.0,3.5,1.8931090295899082,3.5454545454545454,7.0,66.10993303571429,8874.1611328125,62.10458755493164,8.499258995056152,8.934036254882812,0.2073880544319248,0.8515995464229262,0.5042165120442709,id1,20260328_100123_HDR.jpg,healthy,strong,no
30.11181640625,6.217207908630371,136.23614501953125,40.740745544433594,105.76126861572266,34.43064498901367,120.6802749633789,156.7889404296875,0.12185702380226436,0.8741996463198975,0.09553428054556172,0.015590381527328901,5.0,39.0,62.0,0.12389983129052584,0.02414781389109092,0.2108621895313263,0.08287876844406128,0.500457763671875,0.7413413522872243,9.074420745206432,0.7532467532467533,0.6325166691546001,3.0,2.25,1.539301667506698,2.272727272727273,8.0,52.38671875,11447.23828125,70.2693862915039,9.458056449890137,9.976120948791504,0.2241091936500193,0.8129048248512888,0.500457763671875,id1,20260328_100126_HDR.jpg,healthy,strong,no
30.57932472229004,7.3093342781066895,132.16860961914062,40.006072998046875,100.36660766601562,34.538082122802734,120.8342056274414,154.84222412109375,0.138032807257363,0.8570171078248623,0.1348328569653287,0.012872291951451887,5.0,45.0,60.0,0.1348328569653287,0.035582618781326375,0.20562158524990082,0.08271851390600204,0.49114990234375,0.8212520459591295,6.806694577905793,0.8687782805429864,0.5971554487179487,1.0,1.0,1.1341145833333333,1.1458333333333333,8.0,40.37744140625,13670.8134765625,78.271240234375,10.315635681152344,10.556467056274414,0.2418810322687544,0.7598199672667758,0.49114990234375,id1,20260328_100128_HDR.jpg,healthy,strong,no
31.538400650024414,8.018569946289062,129.5286865234375,40.527225494384766,102.54582977294922,36.463722229003906,120.19698333740234,154.7561798095703,0.1863638875075971,0.8095935318710058,0.13076228889257233,0.013462990588798645,6.0,48.0,63.0,0.1445475808976555,0.04704679816564451,0.2087133526802063,0.08670177310705185,0.552337646484375,0.8061738139086205,6.923950173444543,0.8421052631578947,0.6562385782163743,3.0,2.0,1.2139453125,1.46,7.0,46.7265625,15599.65234375,84.05521392822266,10.97739315032959,11.13994026184082,0.25320920124500435,0.8020117871227899,0.552337646484375,id1,20260328_100130_HDR.jpg,healthy,strong,no
32.33498001098633,8.635398864746094,123.75211334228516,38.82767868041992,106.13185119628906,36.820213317871094,119.64736938476562,154.45071411132812,0.22698463001109173,0.7696086198700681,0.10061796862620821,0.016936917903484217,6.0,47.0,58.0,0.137132695998169,0.05787073716086551,0.2032286524772644,0.08391512185335159,0.577789306640625,0.8239545884578997,6.441330147141163,0.847682119205298,0.6884169196100074,2.0,1.75,1.5258491508491507,2.34375,10.0,37.1234375,14013.73046875,80.28854370117188,10.624429702758789,10.629683494567871,0.25202908501910243,0.8329215089635957,0.577789306640625,id1,20260328_100132_HDR.jpg,healthy,strong,no
32.853492736816406,8.657771110534668,119.4523696899414,37.63856887817383,109.98822021484375,35.4822998046875,119.15947723388672,154.37107849121094,0.2684939872650363,0.7269975841288944,0.0623815639397559,0.019704168051227246,7.0,48.0,57.0,0.12496968934951098,0.06118709978715187,0.19949698448181152,0.08424610644578934,0.5663401285807291,0.8374324790253994,6.492147460019066,0.8648648648648649,0.6837931681681682,3.0,1.75,1.3900526556776556,2.0384615384615383,11.0,36.81995738636363,13153.9423828125,79.11418914794922,10.682820320129395,10.287529945373535,0.2580042569624687,0.8157289377289377,0.5663401285807291,id1,20260328_100134_HDR.jpg,healthy,strong,no
32.0595703125,5.5246100425720215,121.43274688720703,36.390464782714844,109.79277801513672,25.297204971313477,119.32683563232422,155.69976806640625,0.27411611968237676,0.7220192627034208,0.03935569578213218,0.0222215512816642,7.0,27.0,58.0,0.09869871078771776,0.02167808942966698,0.19895248115062714,0.07071530073881149,0.3369242350260417,0.6149604884270318,13.57636640708797,1.0105263157894737,0.48077713815789475,5.0,2.5,1.401625317627147,2.142857142857143,9.0,79.09244791666667,6741.1240234375,50.634098052978516,7.043491840362549,7.989378452301025,0.15992874611273813,0.9076733351603179,0.3369242350260417,id1,20260328_100139_HDR.jpg,healthy,strong,no
31.87534523010254,6.015371322631836,113.44253540039062,33.37672424316406,117.0230712890625,26.322729110717773,119.49913024902344,155.36227416992188,0.24395039802099522,0.7507373695728013,0.026450160159842695,0.028337191969807492,6.0,28.0,51.0,0.10586407028004187,0.02911420506802829,0.18070228397846222,0.06294816732406616,0.3207499186197917,0.5726509121869189,13.839841015093848,0.9388753056234719,0.4303942542787286,4.0,2.75,1.3991431040011724,2.1666666666666665,9.0,81.47395833333333,8486.3896484375,56.926422119140625,7.7400336265563965,8.617156982421875,0.17062573340522025,0.9463937329291353,0.3207499186197917,id1,20260328_100141_HDR.jpg,healthy,strong,no
31.565364837646484,5.898180961608887,116.52942657470703,33.566566467285156,115.21388244628906,26.684242248535156,119.63814544677734,155.7623291015625,0.21011657291921415,0.7865411265998207,0.023178717969620392,0.025094426781880928,6.0,32.0,51.0,0.10136952800195646,0.033572457270182876,0.18482421338558197,0.06358950585126877,0.374359130859375,0.6586778181881084,12.174401802256249,1.0607734806629834,0.5478533609576427,3.0,2.25,1.2366698499772033,1.9545454545454546,11.0,68.25994318181819,7771.22265625,54.556724548339844,7.456428050994873,8.185880661010742,0.1727534577864732,0.9273744424564675,0.374359130859375,id1,20260328_100144_HDR.jpg,healthy,strong,no
31.00790023803711,6.213469505310059,116.98224639892578,35.975341796875,113.63871765136719,29.274188995361328,120.1921615600586,155.36732482910156,0.16777006297432584,0.829427233512491,0.02785402874212821,0.02197181149223778,5.0,39.0,59.0,0.12198103849968858,0.032075384650873104,0.1810750812292099,0.0671120136976242,0.4409891764322917,0.7549997712726804,9.587337377751227,1.0940170940170941,0.6734775641025641,2.0,1.75,1.1507771509779927,1.45,9.0,53.006510416666664,7105.4765625,53.225624084472656,7.351572036743164,8.00643539428711,0.17584369449378331,0.9008467972362201,0.4409891764322917,id1,20260328_100147_HDR.jpg,healthy,strong,no
30.86272430419922,5.648589611053467,113.65216827392578,34.59929656982422,115.33795166015625,27.88754653930664,120.33094787597656,155.00791931152344,0.17901628145280657,0.8157804850278948,0.021154503017192305,0.02988728224980075,5.0,39.0,56.0,0.10645565296595697,0.03376978253444154,0.17385172843933105,0.06346692144870758,0.4467264811197917,0.7597421203438396,8.161682103248493,1.0463215258855585,0.6585100193006358,5.0,2.75,1.482940900615435,3.0526315789473686,7.0,54.945870535714285,7482.181640625,54.57185363769531,7.622065544128418,8.240740776062012,0.18111123761812592,0.9372532280439654,0.4467264811197917,id1,20260328_100149_HDR.jpg,healthy,strong,no
31.06191635131836,6.453125953674316,107.03790283203125,32.814517974853516,143.4254913330078,34.23548126220703,119.32282257080078,158.14886474609375,0.1828251168720782,0.8156741393965151,0.0008765405864853378,0.039298236294092646,6.0,50.0,46.0,0.16067254568635783,0.035526455588610284,0.1622934639453888,0.06043672934174538,0.3829752604166667,0.6715420168067227,11.239389179602277,0.8129496402877698,0.5653070463982796,3.0,1.5,1.3322904203231711,1.5,9.0,58.41883680555556,10312.13671875,66.26970672607422,9.376566886901855,9.740880012512207,0.20095356991075222,0.7558018148237372,0.3829752604166667,id1,20260328_100154_HDR.jpg,healthy,strong,no
29.939319610595703,4.553253650665283,110.2880630493164,34.98373794555664,136.0848846435547,38.484100341796875,120.11094665527344,157.67294311523438,0.1401176915186525,0.8575500728823625,0.009771635264266047,0.03075095826809912,5.0,62.0,51.0,0.1991793985855423,0.018938616854721157,0.16346915066242218,0.06728345155715942,0.4710642496744792,0.7781716672848302,8.854025495417705,0.9504950495049505,0.6423944152227723,3.0,1.75,1.1109670780562328,1.315217391304348,7.0,60.79408482142857,13038.47265625,75.80089569091797,10.40661907196045,10.567449569702148,0.22618366355342007,0.7014215496936511,0.4710642496744792,id1,20260328_100157_HDR.jpg,healthy,strong,no
29.737112045288086,4.479515552520752,112.75992584228516,35.213836669921875,130.55296325683594,39.384124755859375,120.39712524414062,157.01864624023438,0.13467496660129047,0.8624920648456079,0.02190576352766171,0.029049771183309172,5.0,64.0,47.0,0.17865704025847284,0.02391442350511166,0.16674605011940002,0.07122015953063965,0.5368194580078125,0.8277115026814053,7.483220165265953,0.9253012048192771,0.7118599397590362,2.0,1.25,1.1341666666666668,1.4,10.0,52.37109375,11613.4482421875,71.47125244140625,10.156126022338867,10.326170921325684,0.22768918829292326,0.7474240310461798,0.5368194580078125,id1,20260328_100158_HDR.jpg,healthy,strong,no
30.875282287597656,4.967690944671631,112.3323974609375,33.7857780456543,136.10350036621094,41.01359939575195,119.2212905883789,158.2690887451172,0.19031315240083507,0.8080271398747391,0.03419624217118998,0.029467640918580375,5.0,66.0,45.0,0.19359081419624216,0.025187891440501042,0.17489992082118988,0.07046672701835632,0.4872639973958333,0.8486667150436887,5.595697771861391,0.8405797101449275,0.6899952801377089,2.0,1.5,1.1482941253572772,1.2269938650306749,8.0,28.01220703125,10137.2236328125,66.5247802734375,10.041659355163574,9.988715171813965,0.22692066805845512,0.6481863637286278,0.4872639973958333,id1,20260328_100200_HDR.jpg,healthy,strong,no
31.850339889526367,5.238949298858643,114.0519790649414,32.16422653198242,135.28492736816406,40.263427734375,118.26631927490234,158.4785919189453,0.2697885011523322,0.7285900756664151,0.03311170483979523,0.024402928759356325,7.0,63.0,42.0,0.1881666700658767,0.022628541127042077,0.1855040192604065,0.07008639723062515,0.4987691243489583,0.8418876966350661,5.376897962577065,0.7874396135265701,0.7484662576687117,2.0,1.25,1.2491919951947743,1.2732919254658386,9.0,28.91623263888889,8245.3876953125,57.8643913269043,9.065835952758789,9.480877876281738,0.1982725214660113,0.66145482017106,0.4987691243489583,id1,20260328_100202_HDR.jpg,healthy,strong,no
